Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2025-09-01,Amérique Centrale,Amérique Centrale,188,34,1701,9
2025-09-01,Amérique du Nord,Canada,987,393,12824,13
2025-09-01,Amérique du Nord,États-Unis (y compris Hawaii),8266,2099,86510,"10,5"
2025-09-01,Amérique du Sud,Amérique du Sud,244,87,3219,"13,2"
2025-09-01,Asie,Asie,1090,62,10200,"9,4"
2025-09-01,Europe,Europe (hors France),5087,955,79375,"15,6"
2025-09-01,Europe,France,9400,894,234796,25
2025-09-01,Pacifique,Pacifique,2858,394,36689,"12,8"
2025-09-01,Autres Pays,Autres Pays,154,38,3028,"19,7"
2025-08-01,Amérique Centrale,Amérique Centrale,100,19,1783,"17,8"
2025-08-01,Amérique du Nord,Canada,626,205,9126,"14,6"
2025-08-01,Amérique du Nord,États-Unis (y compris Hawaii),7884,2357,82787,"10,5"
2025-08-01,Amérique du Sud,Amérique du Sud,151,29,2407,"15,9"
2025-08-01,Asie,Asie,489,84,4768,"9,8"
2025-08-01,Europe,Europe (hors France),5281,980,80280,"15,2"
2025-08-01,Europe,France,8400,992,200890,"23,9"
2025-08-01,Pacifique,Pacifique,2033,550,28871,"14,2"
2025-08-01,Autres Pays,Autres Pays,112,23,2337,"20,9"
2025-07-01,Amérique Centrale,Amérique Centrale,120,36,1266,"10,6"
2025-07-01,Amérique du Nord,Canada,684,171,10201,"14,9"
2025-07-01,Amérique du Nord,États-Unis (y compris Hawaii),9240,2309,93937,"10,2"
2025-07-01,Amérique du Sud,Amérique du Sud,226,24,3039,"13,4"
2025-07-01,Asie,Asie,621,178,5890,"9,5"
2025-07-01,Europe,Europe (hors France),4517,904,76225,"16,9"
2025-07-01,Europe,France,12525,1147,337753,27
2025-07-01,Pacifique,Pacifique,2932,583,37700,"12,9"
2025-07-01,Autres Pays,Autres Pays,125,38,2956,"23,6"
2025-06-01,Amérique Centrale,Amérique Centrale,72,13,930,"12,9"
2025-06-01,Amérique du Nord,Canada,557,121,9224,"16,6"
2025-06-01,Amérique du Nord,États-Unis (y compris Hawaii),11128,2209,114742,"10,3"
2025-06-01,Amérique du Sud,Amérique du Sud,170,26,3259,"19,2"
2025-06-01,Asie,Asie,655,40,7921,"12,1"
2025-06-01,Europe,Europe (hors France),2902,557,49640,"17,1"
2025-06-01,Europe,France,7862,680,224908,"28,6"
2025-06-01,Pacifique,Pacifique,2715,487,36726,"13,5"
2025-06-01,Autres Pays,Autres Pays,76,28,1730,"22,8"
2025-05-01,Amérique Centrale,Amérique Centrale,96,23,1661,"17,3"
2025-05-01,Amérique du Nord,Canada,758,275,11195,"14,8"
2025-05-01,Amérique du Nord,États-Unis (y compris Hawaii),10401,2435,103290,"9,9"
2025-05-01,Amérique du Sud,Amérique du Sud,178,54,2908,"16,3"
2025-05-01,Asie,Asie,801,80,7383,"9,2"
2025-05-01,Europe,Europe (hors France),2892,756,47653,"16,5"
2025-05-01,Europe,France,7436,681,199772,"26,9"
2025-05-01,Pacifique,Pacifique,1663,330,22081,"13,3"
2025-05-01,Autres Pays,Autres Pays,91,19,2052,"22,5"
2025-04-01,Amérique Centrale,Amérique Centrale,135,31,1273,"9,4"
2025-04-01,Amérique du Nord,Canada,662,197,8975,"13,6"
2025-04-01,Amérique du Nord,États-Unis (y compris Hawaii),9872,2007,93613,"9,5"
2025-04-01,Amérique du Sud,Amérique du Sud,144,36,1843,"12,8"
2025-04-01,Asie,Asie,879,94,7715,"8,8"
2025-04-01,Europe,Europe (hors France),3058,799,50248,"16,4"
2025-04-01,Europe,France,7854,634,184935,"23,5"
2025-04-01,Pacifique,Pacifique,2400,391,31280,13
2025-04-01,Autres Pays,Autres Pays,82,20,1769,"21,6"
2025-03-01,Amérique Centrale,Amérique Centrale,98,21,853,"8,7"
2025-03-01,Amérique du Nord,Canada,889,288,11703,"13,2"
2025-03-01,Amérique du Nord,États-Unis (y compris Hawaii),11334,2181,102007,9
2025-03-01,Amérique du Sud,Amérique du Sud,76,28,1416,"18,6"
2025-03-01,Asie,Asie,749,109,5559,"7,4"
2025-03-01,Europe,Europe (hors France),2432,947,41591,"17,1"
2025-03-01,Europe,France,5885,561,163660,"27,8"
2025-03-01,Pacifique,Pacifique,1463,318,21419,"14,6"
2025-03-01,Autres Pays,Autres Pays,76,15,1435,"18,9"
2025-02-01,Amérique Centrale,Amérique Centrale,91,35,1025,"11,3"
2025-02-01,Amérique du Nord,Canada,1052,569,14533,"13,8"
2025-02-01,Amérique du Nord,États-Unis (y compris Hawaii),8170,3033,84783,"10,4"
2025-02-01,Amérique du Sud,Amérique du Sud,117,44,1881,"16,1"
2025-02-01,Asie,Asie,723,97,6565,"9,1"
2025-02-01,Europe,Europe (hors France),2055,951,37277,"18,1"
2025-02-01,Europe,France,3997,285,111090,"27,8"
2025-02-01,Pacifique,Pacifique,1048,218,16020,"15,3"
2025-02-01,Autres Pays,Autres Pays,45,10,932,"20,7"
2025-01-01,Amérique Centrale,Amérique Centrale,48,10,317,"6,6"
2025-01-01,Amérique du Nord,Canada,639,239,10146,"15,9"
2025-01-01,Amérique du Nord,États-Unis (y compris Hawaii),5911,1211,59157,10
2025-01-01,Amérique du Sud,Amérique du Sud,113,25,1461,"12,9"
2025-01-01,Asie,Asie,1103,102,8036,"7,3"
2025-01-01,Europe,Europe (hors France),1972,791,38033,"19,3"
2025-01-01,Europe,France,2935,234,120651,"41,1"
2025-01-01,Pacifique,Pacifique,1334,151,17472,"13,1"
2025-01-01,Autres Pays,Autres Pays,50,16,906,"18,1"
2024-12-01,Amérique Centrale,Amérique Centrale,167,53,1476,"8,8"
2024-12-01,Amérique du Nord,Canada,774,263,11409,"14,7"
2024-12-01,Amérique du Nord,États-Unis (y compris Hawaii),10081,1819,95756,"9,5"
2024-12-01,Amérique du Sud,Amérique du Sud,107,14,1528,"14,3"
2024-12-01,Asie,Asie,1063,152,9187,"8,6"
2024-12-01,Europe,Europe (hors France),1912,532,32212,"16,8"
2024-12-01,Europe,France,5639,401,173291,"30,7"
2024-12-01,Pacifique,Pacifique,2391,222,36070,"15,1"
2024-12-01,Autres Pays,Autres Pays,64,31,1256,"19,6"
2024-11-01,Amérique Centrale,Amérique Centrale,231,15,3533,"15,3"
2024-11-01,Amérique du Nord,Canada,1120,689,11588,"10,3"
2024-11-01,Amérique du Nord,États-Unis (y compris Hawaii),9392,2001,85588,"9,1"
2024-11-01,Amérique du Sud,Amérique du Sud,163,61,2479,"15,2"
2024-11-01,Asie,Asie,1071,123,10737,10
2024-11-01,Europe,Europe (hors France),2747,1030,41863,"15,2"
2024-11-01,Europe,France,4451,478,139091,"31,2"
2024-11-01,Pacifique,Pacifique,1607,369,21560,"13,4"
2024-11-01,Autres Pays,Autres Pays,49,9,942,"19,2"
2024-10-01,Amérique Centrale,Amérique Centrale,58,10,587,"10,1"
2024-10-01,Amérique du Nord,Canada,771,314,11120,"14,4"
2024-10-01,Amérique du Nord,États-Unis (y compris Hawaii),7894,1904,78896,10
2024-10-01,Amérique du Sud,Amérique du Sud,159,58,2068,13
2024-10-01,Asie,Asie,384,67,4445,"11,6"
2024-10-01,Europe,Europe (hors France),3615,792,61379,17
2024-10-01,Europe,France,8970,1002,216227,"24,1"
2024-10-01,Pacifique,Pacifique,2109,383,27079,"12,8"
2024-10-01,Autres Pays,Autres Pays,96,41,1638,"17,1"
2024-09-01,Amérique Centrale,Amérique Centrale,78,10,992,"12,7"
2024-09-01,Amérique du Nord,Canada,663,241,9869,"14,9"
2024-09-01,Amérique du Nord,États-Unis (y compris Hawaii),7488,1827,78489,"10,5"
2024-09-01,Amérique du Sud,Amérique du Sud,154,20,2089,"13,6"
2024-09-01,Asie,Asie,386,60,3801,"9,8"
2024-09-01,Europe,Europe (hors France),3770,651,65867,"17,5"
2024-09-01,Europe,France,8787,955,223510,"25,4"
2024-09-01,Pacifique,Pacifique,2229,362,28896,13
2024-09-01,Autres Pays,Autres Pays,78,13,1428,"18,3"
2024-08-01,Amérique Centrale,Amérique Centrale,60,12,786,"13,1"
2024-08-01,Amérique du Nord,Canada,419,116,7100,"16,9"
2024-08-01,Amérique du Nord,États-Unis (y compris Hawaii),7269,1606,75894,"10,4"
2024-08-01,Amérique du Sud,Amérique du Sud,117,21,2606,"22,3"
2024-08-01,Asie,Asie,442,59,5771,"13,1"
2024-08-01,Europe,Europe (hors France),4494,653,67304,15
2024-08-01,Europe,France,8335,941,195198,"23,4"
2024-08-01,Pacifique,Pacifique,2091,443,30642,"14,7"
2024-08-01,Autres Pays,Autres Pays,86,20,1473,"17,1"
2024-07-01,Amérique Centrale,Amérique Centrale,88,7,1040,"11,8"
2024-07-01,Amérique du Nord,Canada,515,94,8221,16
2024-07-01,Amérique du Nord,États-Unis (y compris Hawaii),8393,1453,86115,"10,3"
2024-07-01,Amérique du Sud,Amérique du Sud,252,51,3966,"15,7"
2024-07-01,Asie,Asie,439,83,7013,16
2024-07-01,Europe,Europe (hors France),3947,804,65784,"16,7"
2024-07-01,Europe,France,9588,859,242400,"25,3"
2024-07-01,Pacifique,Pacifique,3090,462,44958,"14,5"
2024-07-01,Autres Pays,Autres Pays,158,45,3270,"20,7"
2024-06-01,Amérique Centrale,Amérique Centrale,65,12,745,"11,5"
2024-06-01,Amérique du Nord,Canada,403,95,6802,"16,9"
2024-06-01,Amérique du Nord,États-Unis (y compris Hawaii),10713,2231,109316,"10,2"
2024-06-01,Amérique du Sud,Amérique du Sud,195,35,3343,"17,1"
2024-06-01,Asie,Asie,325,43,4252,"13,1"
2024-06-01,Europe,Europe (hors France),2569,523,43565,17
2024-06-01,Europe,France,6908,644,205809,"29,8"
2024-06-01,Pacifique,Pacifique,2106,492,31305,"14,9"
2024-06-01,Autres Pays,Autres Pays,79,16,1539,"19,5"
2024-05-01,Amérique Centrale,Amérique Centrale,98,40,1411,"14,4"
2024-05-01,Amérique du Nord,Canada,556,196,8709,"15,7"
2024-05-01,Amérique du Nord,États-Unis (y compris Hawaii),8119,2078,83612,"10,3"
2024-05-01,Amérique du Sud,Amérique du Sud,228,50,3365,"14,8"
2024-05-01,Asie,Asie,412,48,3858,"9,4"
2024-05-01,Europe,Europe (hors France),2316,615,40890,"17,7"
2024-05-01,Europe,France,6812,725,169063,"24,8"
2024-05-01,Pacifique,Pacifique,1807,357,24074,"13,3"
2024-05-01,Autres Pays,Autres Pays,52,11,754,"14,5"
2024-04-01,Amérique Centrale,Amérique Centrale,94,33,943,10
2024-04-01,Amérique du Nord,Canada,889,522,9787,11
2024-04-01,Amérique du Nord,États-Unis (y compris Hawaii),8558,2730,78367,"9,2"
2024-04-01,Amérique du Sud,Amérique du Sud,142,41,1536,"10,8"
2024-04-01,Asie,Asie,980,97,8069,"8,2"
2024-04-01,Europe,Europe (hors France),2331,757,40151,"17,2"
2024-04-01,Europe,France,8257,774,202371,"24,5"
2024-04-01,Pacifique,Pacifique,2106,312,23526,"11,2"
2024-04-01,Autres Pays,Autres Pays,63,22,1439,"22,8"
2024-03-01,Amérique Centrale,Amérique Centrale,129,30,1318,"10,2"
2024-03-01,Amérique du Nord,Canada,875,299,11318,"12,9"
2024-03-01,Amérique du Nord,États-Unis (y compris Hawaii),11411,2201,100823,"8,8"
2024-03-01,Amérique du Sud,Amérique du Sud,106,8,2184,"20,6"
2024-03-01,Asie,Asie,988,77,8095,"8,2"
2024-03-01,Europe,Europe (hors France),2467,831,43373,"17,6"
2024-03-01,Europe,France,5627,709,141876,"25,2"
2024-03-01,Pacifique,Pacifique,1481,225,18823,"12,7"
2024-03-01,Autres Pays,Autres Pays,63,16,1035,"16,4"
2024-02-01,Amérique Centrale,Amérique Centrale,79,34,1091,"13,8"
2024-02-01,Amérique du Nord,Canada,1189,737,16543,"13,9"
2024-02-01,Amérique du Nord,États-Unis (y compris Hawaii),8191,2815,76967,"9,4"
2024-02-01,Amérique du Sud,Amérique du Sud,96,28,1841,"19,2"
2024-02-01,Asie,Asie,1012,160,9966,"9,8"
2024-02-01,Europe,Europe (hors France),2094,1012,34901,"16,7"
2024-02-01,Europe,France,4467,464,114287,"25,6"
2024-02-01,Pacifique,Pacifique,1129,295,13303,"11,8"
2024-02-01,Autres Pays,Autres Pays,53,10,483,"9,1"
2024-01-01,Amérique Centrale,Amérique Centrale,73,19,902,"12,4"
2024-01-01,Amérique du Nord,Canada,729,404,12644,"17,3"
2024-01-01,Amérique du Nord,États-Unis (y compris Hawaii),6417,2185,66994,"10,4"
2024-01-01,Amérique du Sud,Amérique du Sud,111,20,1596,"14,4"
2024-01-01,Asie,Asie,645,54,4910,"7,6"
2024-01-01,Europe,Europe (hors France),1838,703,35346,"19,2"
2024-01-01,Europe,France,3128,322,109002,"34,8"
2024-01-01,Pacifique,Pacifique,1659,248,21909,"13,2"
2024-01-01,Autres Pays,Autres Pays,25,5,431,"17,2"
2023-12-01,Amérique Centrale,Amérique Centrale,103,24,1034,10
2023-12-01,Amérique du Nord,Canada,717,266,10154,"14,2"
2023-12-01,Amérique du Nord,États-Unis (y compris Hawaii),10809,1670,100364,"9,3"
2023-12-01,Amérique du Sud,Amérique du Sud,215,31,3485,"16,2"
2023-12-01,Asie,Asie,777,57,7126,"9,2"
2023-12-01,Europe,Europe (hors France),1955,591,32460,"16,6"
2023-12-01,Europe,France,5725,440,161031,"28,1"
2023-12-01,Pacifique,Pacifique,2741,484,42323,"15,4"
2023-12-01,Autres Pays,Autres Pays,59,14,1259,"21,3"
2023-11-01,Amérique Centrale,Amérique Centrale,197,8,2487,"12,6"
2023-11-01,Amérique du Nord,Canada,841,478,10568,"12,6"
2023-11-01,Amérique du Nord,États-Unis (y compris Hawaii),9873,1757,85463,"8,7"
2023-11-01,Amérique du Sud,Amérique du Sud,91,30,1262,"13,9"
2023-11-01,Asie,Asie,849,59,7743,"9,1"
2023-11-01,Europe,Europe (hors France),2136,612,33769,"15,8"
2023-11-01,Europe,France,4854,626,136909,"28,2"
2023-11-01,Pacifique,Pacifique,1222,143,14918,"12,2"
2023-11-01,Autres Pays,Autres Pays,61,23,1083,"17,8"
2023-10-01,Amérique Centrale,Amérique Centrale,79,24,1256,"15,9"
2023-10-01,Amérique du Nord,Canada,997,526,12938,13
2023-10-01,Amérique du Nord,États-Unis (y compris Hawaii),8263,1899,78736,"9,5"
2023-10-01,Amérique du Sud,Amérique du Sud,95,18,1264,"13,3"
2023-10-01,Asie,Asie,343,48,3413,10
2023-10-01,Europe,Europe (hors France),3056,651,49871,"16,3"
2023-10-01,Europe,France,8419,782,203359,"24,2"
2023-10-01,Pacifique,Pacifique,1865,307,22824,"12,2"
2023-10-01,Autres Pays,Autres Pays,71,14,894,"12,6"
2023-09-01,Amérique Centrale,Amérique Centrale,68,13,906,"13,3"
2023-09-01,Amérique du Nord,Canada,834,341,11138,"13,4"
2023-09-01,Amérique du Nord,États-Unis (y compris Hawaii),8122,1999,83848,"10,3"
2023-09-01,Amérique du Sud,Amérique du Sud,151,32,1730,"11,5"
2023-09-01,Asie,Asie,370,46,3669,"9,9"
